# PyFAI 1D azimuthal integration
# Input file: E:/Sample2/CK2-0.3s-insuit-006-300-to-700/CK2-0.3s-insuit-006-300-to-700_saxs/series_1410_data_000001.h5
# Dataset: /entry/data/data
# Timestamp: Thu Apr 23 16:31:26 2026
# Radial	Intensity	Sigma
2.305543e+00	3.795682e+00	2.328436e-02
2.310014e+00	3.758252e+00	2.315445e-02
2.314485e+00	3.716560e+00	2.303619e-02
2.318956e+00	3.698640e+00	2.296871e-02
2.323428e+00	3.665144e+00	2.281131e-02
2.327899e+00	3.682853e+00	2.285953e-02
2.332370e+00	3.627487e+00	2.266667e-02
2.336841e+00	3.657022e+00	2.277223e-02
2.341313e+00	3.631012e+00	2.269742e-02
2.345784e+00	3.620629e+00	2.269566e-02
2.350255e+00	3.563961e+00	2.251145e-02
2.354726e+00	3.553585e+00	2.245486e-02
2.359198e+00	3.517564e+00	2.230242e-02
2.363669e+00	3.449534e+00	2.209006e-02
2.368140e+00	3.449817e+00	2.213565e-02
2.372611e+00	3.458682e+00	2.213523e-02
2.377083e+00	3.458431e+00	2.210129e-02
2.381554e+00	3.382271e+00	2.185022e-02
2.386025e+00	3.392432e+00	2.189250e-02
2.390496e+00	3.397430e+00	2.189362e-02
2.394968e+00	3.338614e+00	2.165586e-02
2.399439e+00	3.320648e+00	2.157524e-02
2.403910e+00	3.344302e+00	2.166835e-02
2.408381e+00	3.317238e+00	2.159915e-02
2.412853e+00	3.320676e+00	2.160514e-02
2.417324e+00	3.279656e+00	2.145300e-02
2.421795e+00	3.210653e+00	2.120513e-02
2.426266e+00	3.207771e+00	2.120190e-02
2.430738e+00	3.209567e+00	2.120674e-02
2.435209e+00	3.211176e+00	2.119505e-02
2.439680e+00	3.170612e+00	2.100044e-02
2.444151e+00	3.138760e+00	2.089974e-02
2.448623e+00	3.092034e+00	2.079366e-02
2.453094e+00	3.120868e+00	2.086664e-02
2.457565e+00	3.128200e+00	2.086761e-02
2.462036e+00	3.078872e+00	2.068673e-02
2.466508e+00	3.047576e+00	2.057665e-02
2.470979e+00	3.071828e+00	2.067785e-02
