# PyFAI 1D azimuthal integration
# Input file: E:/duizhao/ZSZ-Bkg-0.3s-003/ZSZ-Bkg-0.3s-003_saxs/series_1455_data_000001.h5
# Dataset: /entry/data/data
# Timestamp: Sat Apr 25 12:18:53 2026
# Radial	Intensity	Sigma
1.719808e+00	8.717117e+00	3.745500e-02
1.724280e+00	8.690878e+00	3.739174e-02
1.728751e+00	8.665931e+00	3.727941e-02
1.733222e+00	8.707450e+00	3.729323e-02
1.737693e+00	8.666698e+00	3.714536e-02
1.742165e+00	8.603819e+00	3.700197e-02
1.746636e+00	8.647491e+00	3.709673e-02
1.751107e+00	8.648315e+00	3.705957e-02
1.755578e+00	8.592921e+00	3.689018e-02
1.760050e+00	8.592012e+00	3.687584e-02
1.764521e+00	8.628387e+00	3.695649e-02
1.768992e+00	8.603116e+00	3.689391e-02
1.773463e+00	8.628562e+00	3.693473e-02
1.777935e+00	8.590155e+00	3.675301e-02
1.782406e+00	8.651706e+00	3.688964e-02
1.786877e+00	8.650292e+00	3.693376e-02
1.791348e+00	8.589508e+00	3.676971e-02
1.795820e+00	8.549705e+00	3.660002e-02
1.800291e+00	8.591065e+00	3.664656e-02
1.804762e+00	8.596775e+00	3.667077e-02
1.809233e+00	8.547981e+00	3.657961e-02
1.813705e+00	8.521170e+00	3.650961e-02
1.818176e+00	8.532994e+00	3.647967e-02
1.822647e+00	8.610165e+00	3.662247e-02
1.827118e+00	8.534822e+00	3.644682e-02
1.831590e+00	8.561085e+00	3.651593e-02
1.836061e+00	8.611099e+00	3.659550e-02
1.840532e+00	8.528193e+00	3.634912e-02
1.845003e+00	8.536078e+00	3.637879e-02
1.849475e+00	8.464544e+00	3.623585e-02
1.853946e+00	8.428655e+00	3.615096e-02
1.858417e+00	8.463078e+00	3.615577e-02
1.862888e+00	8.460979e+00	3.607477e-02
1.867360e+00	8.403419e+00	3.593507e-02
1.871831e+00	8.493938e+00	3.620035e-02
1.876302e+00	8.464354e+00	3.611097e-02
1.880773e+00	8.409487e+00	3.592270e-02
1.885245e+00	8.490954e+00	3.609050e-02
1.889716e+00	8.434586e+00	3.591692e-02
1.894187e+00	8.508759e+00	3.611135e-02
1.898658e+00	8.420235e+00	3.586314e-02
1.903130e+00	8.429898e+00	3.582830e-02
1.907601e+00	8.399537e+00	3.575650e-02
1.912072e+00	8.407368e+00	3.578349e-02
1.916543e+00	8.419259e+00	3.580934e-02
1.921015e+00	8.422015e+00	3.578168e-02
1.925486e+00	8.419826e+00	3.572023e-02
1.929957e+00	8.445861e+00	3.576660e-02
1.934428e+00	8.388580e+00	3.562497e-02
1.938900e+00	8.462324e+00	3.579417e-02
1.943371e+00	8.344809e+00	3.546780e-02
1.947842e+00	8.387665e+00	3.555911e-02
1.952313e+00	8.351768e+00	3.549670e-02
1.956785e+00	8.415374e+00	3.625079e-02
1.961256e+00	8.373334e+00	3.663887e-02
1.965727e+00	8.356598e+00	3.695131e-02
1.970199e+00	8.356699e+00	3.719730e-02
1.974670e+00	8.360825e+00	3.744024e-02
1.979141e+00	8.285664e+00	3.749565e-02
1.983612e+00	8.295741e+00	3.774264e-02
1.988084e+00	8.312917e+00	3.796289e-02
1.992555e+00	8.312369e+00	3.811408e-02
1.997026e+00	8.304974e+00	3.823649e-02
2.001497e+00	8.337348e+00	3.844456e-02
2.005969e+00	8.327672e+00	3.863914e-02
2.010440e+00	8.220920e+00	3.855557e-02
2.014911e+00	8.194737e+00	3.858420e-02
2.019382e+00	8.177210e+00	3.866335e-02
2.023854e+00	8.174374e+00	3.880744e-02
2.028325e+00	8.168848e+00	3.896476e-02
2.032796e+00	8.242121e+00	3.853095e-02
2.037267e+00	8.277917e+00	3.804186e-02
2.041739e+00	8.180898e+00	3.746846e-02
2.046210e+00	8.232228e+00	3.734403e-02
2.050681e+00	8.290849e+00	3.738150e-02
2.055152e+00	8.221343e+00	3.709383e-02
2.059624e+00	8.220603e+00	3.690052e-02
2.064095e+00	8.257642e+00	3.685343e-02
2.068566e+00	8.230020e+00	3.669382e-02
2.073037e+00	8.164115e+00	3.650477e-02
2.077509e+00	8.234666e+00	3.661051e-02
2.081980e+00	8.222516e+00	3.645391e-02
2.086451e+00	8.114961e+00	3.612833e-02
2.090922e+00	8.162969e+00	3.619871e-02
2.095394e+00	8.174174e+00	3.618363e-02
2.099865e+00	8.151649e+00	3.605579e-02
2.104336e+00	8.218260e+00	3.611523e-02
2.108807e+00	8.191576e+00	3.600293e-02
2.113279e+00	8.223975e+00	3.604609e-02
2.117750e+00	8.186718e+00	3.589217e-02
2.122221e+00	8.183592e+00	3.582308e-02
2.126692e+00	8.144191e+00	3.567673e-02
2.131164e+00	8.166062e+00	3.569332e-02
2.135635e+00	8.175994e+00	3.566259e-02
2.140106e+00	8.124822e+00	3.551303e-02
2.144577e+00	8.189372e+00	3.564028e-02
2.149049e+00	8.144723e+00	3.548813e-02
2.153520e+00	8.100754e+00	3.535642e-02
2.157991e+00	8.093242e+00	3.527186e-02
2.162462e+00	8.106120e+00	3.526312e-02
2.166934e+00	8.161472e+00	3.533398e-02
2.171405e+00	8.154086e+00	3.523361e-02
2.175876e+00	8.106395e+00	3.504862e-02
2.180347e+00	8.114160e+00	3.497666e-02
2.184819e+00	8.066114e+00	3.480131e-02
2.189290e+00	8.085581e+00	3.482260e-02
2.193761e+00	8.118476e+00	3.481738e-02
2.198232e+00	8.052139e+00	3.455126e-02
